age,d18O
265530.0,1.6
265620.0,1.68
265660.0,1.6
265760.0,1.58
265800.0,1.57
265930.0,2.21
266060.0,2.11
266190.0,2.2
266330.0,2.24
266460.0,2.06
266590.0,1.97
266730.0,1.84
266860.0,1.76
267000.0,2.14
267130.0,1.43
267260.0,1.51
267400.0,1.75
267530.0,1.38
267660.0,1.46
267790.0,1.56
267930.0,1.23
268060.0,1.58
268190.0,1.36
268330.0,1.4
268460.0,1.14
268600.0,1.29
268730.0,1.4
268860.0,1.17
268990.0,0.87
269130.0,1.03
269260.0,1.41
269400.0,1.89
269530.0,1.71
269670.0,2.02
269800.0,2.07
269940.0,1.71
270070.0,2.21
270210.0,2.25
270340.0,2.48
270480.0,2.36
270610.0,2.07
270750.0,2.3
270880.0,2.25
271020.0,2.39
271150.0,2.51
271290.0,2.46
271420.0,2.39
271560.0,2.31
271690.0,2.28
271830.0,2.43
271960.0,2.35
272100.0,2.35
272230.0,2.51
272370.0,2.62
272500.0,2.25
272640.0,2.38
272770.0,2.23
272910.0,2.58
273040.0,2.49
273180.0,2.71
273310.0,2.6
273450.0,2.56
273720.0,2.55
274120.0,2.81
274250.0,2.78
274390.0,2.81
274520.0,2.64
274660.0,2.73
274790.0,2.49
274930.0,2.55
275060.0,2.27
275200.0,2.35
275330.0,2.03
275470.0,1.91
275600.0,2.17
275740.0,2.06
275870.0,2.09
276010.0,2.12
276140.0,2.02
276280.0,1.8
276410.0,2.18
276550.0,2.28
276680.0,2.29
276820.0,2.14
276950.0,1.84
277090.0,2.03
277220.0,2.16
277360.0,2.47
277490.0,2.62
277630.0,2.43
277760.0,2.62
277900.0,2.3
278030.0,2.15
278170.0,2.08
278300.0,1.65
278440.0,2.15
278570.0,1.98
278710.0,1.74
278840.0,1.94
278980.0,1.6
279110.0,1.82
279250.0,1.56
279380.0,2.01
279520.0,1.54
279650.0,1.29
