age,d18O
297841.0,-58.48
297889.0,-58.78
297936.0,-58.54
297983.0,-58.84
298029.0,-59.1
298070.0,-58.45
298111.0,-58.19
298165.0,-58.24
298211.0,-58.68
298256.0,-58.73
298302.0,-58.72
298347.0,-58.31
298392.0,-58.38
298437.0,-58.32
298481.0,-58.0
298525.0,-57.83
298569.0,-57.78
298613.0,-58.2
298657.0,-58.75
298701.0,-58.77
298744.0,-58.52
298788.0,-58.32
298832.0,-58.25
298875.0,-58.23
298918.0,-58.27
298961.0,-58.25
299004.0,-57.84
299047.0,-58.57
299089.0,-58.0
299132.0,-57.6
299175.0,-58.25
299218.0,-58.4
299260.0,-58.3
299303.0,-58.3
299345.0,-58.07
299387.0,-57.43
299429.0,-57.82
299471.0,-57.88
299513.0,-58.07
299555.0,-58.04
299597.0,-58.16
299639.0,-57.7
299681.0,-57.97
299723.0,-58.25
299769.0,-57.4
299811.0,-57.53
299853.0,-57.47
299899.0,-57.97
299933.0,-57.75
299975.0,-57.78
300017.0,-57.28
300059.0,-57.37
300101.0,-57.73
300144.0,-57.49
300188.0,-57.19
300232.0,-57.39
300281.0,-57.6
300321.0,-57.63
300370.0,-57.55
300419.0,-57.78
300468.0,-57.72
300516.0,-58.03
300564.0,-58.11
300612.0,-57.89
300659.0,-58.19
300707.0,-57.81
300754.0,-57.95
300802.0,-58.29
300850.0,-58.98
300897.0,-58.57
300945.0,-57.94
300992.0,-58.28
301040.0,-59.02
301086.0,-59.32
301133.0,-59.41
301180.0,-59.19
301226.0,-58.96
301273.0,-58.57
301320.0,-58.84
301366.0,-58.91
301413.0,-58.43
301460.0,-58.72
301507.0,-58.57
301553.0,-58.15
301599.0,-58.15
301645.0,-58.32
301691.0,-58.46
301737.0,-58.63
301782.0,-58.39
301828.0,-58.53
301874.0,-58.26
301920.0,-58.43
301965.0,-58.36
302010.0,-58.65
302055.0,-58.27
302100.0,-58.07
302145.0,-58.03
302190.0,-58.58
302236.0,-58.65
302281.0,-57.62
302326.0,-57.84
302371.0,-58.47
302416.0,-58.21
302461.0,-58.87
302507.0,-58.94
302552.0,-58.61
302598.0,-57.96
302643.0,-58.18
302688.0,-57.89
302734.0,-57.58
302779.0,-57.86
302825.0,-58.19
302870.0,-57.47
302915.0,-57.64
302961.0,-57.52
303006.0,-57.55
303052.0,-57.53
303097.0,-57.57
303142.0,-57.7
303188.0,-57.48
303233.0,-57.74
303279.0,-58.11
303324.0,-57.69
303368.0,-57.91
303413.0,-58.0
303457.0,-57.46
303501.0,-57.22
303545.0,-57.63
303590.0,-58.14
303634.0,-58.06
303678.0,-57.87
303723.0,-58.17
303766.0,-58.47
303810.0,-58.1
303853.0,-57.99
303897.0,-57.88
303940.0,-58.0
303983.0,-57.36
304026.0,-56.98
304069.0,-57.47
304113.0,-57.82
304160.0,-57.82
304207.0,-57.88
304254.0,-57.87
304301.0,-57.45
304348.0,-57.36
304395.0,-57.14
304441.0,-57.48
304488.0,-58.16
304536.0,-57.49
304583.0,-57.09
304629.0,-56.78
304676.0,-56.63
304725.0,-56.5
304773.0,-56.71
304821.0,-56.75
304870.0,-56.64
304918.0,-56.64
304966.0,-56.59
305015.0,-57.43
305063.0,-57.97
305112.0,-58.34
305161.0,-58.11
305211.0,-57.65
305262.0,-57.91
305313.0,-58.35
305364.0,-58.22
305415.0,-58.35
305466.0,-58.54
305517.0,-58.26
305569.0,-57.59
305620.0,-57.81
305672.0,-58.0
305724.0,-58.15
305775.0,-57.97
305827.0,-57.73
305879.0,-57.79
305931.0,-58.16
305983.0,-58.26
306035.0,-58.42
